Service_pk,Question,SQLQuery
CT_VDS_DT_DV_TH_HEALTHCARE,Doanh thu dịch vụ Thu hộ y tế năm 2024 tăng trưởng bao nhiêu % so với năm trước,Select SPY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_HEALTHCARE' and PARTITION_DATE = '20241231'
CT_VDS_DT_DV_TH_TC_BH,Quý 2 năm 2024 Doanh thu dịch vụ Thu hộ tài chính & bảo hiểm tăng trưởng bao nhiêu so với quý 2 năm 2023,Select SPQY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TC_BH' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TH_PUBLIC_SERVICES,Tỷ lệ chênh lệch lũy kế tháng giữa Doanh thu dịch vụ Thu hộ Dịch vụ công tháng 06/2024 và cùng kỳ năm trước đó,Select SPMY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_PUBLIC_SERVICES' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TH_ELECTRIC,Doanh thu dịch vụ Thu hộ điện từ đầu năm tính đến hiện tại,Select sum(DAY_VALUE) From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_ELECTRIC' and PARTITION_DATE >= '20250101'
CT_VDS_DT_DV_TH_HEALTHCARE,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Thu hộ y tế tăng trưởng tháng bao nhiêu so với cùng kỳ tháng trước",Select SPM_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_HEALTHCARE' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_TRAVELLING,Ngày 20/06/2024 Doanh thu dịch vụ Thu hộ Du lịch tăng trưởng bao nhiêu phần trăm so với ngày 20/05/2024,Select SPDM_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TRAVELLING' and PARTITION_DATE = '20240620'
CT_VDS_DT_SMS_BANKING,Tỷ lệ chênh lệch Doanh thu dịch vụ SMS Banking giữa ngày 20/06/2024 và ngày trước đó,Select SPD_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_SMS_BANKING' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_TC_BH,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Thu hộ tài chính & bảo hiểm tăng trưởng bao nhiêu % so với cùng kỳ quý năm trước",Select SPQY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TC_BH' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_PUBLIC_SERVICES,Doanh thu dịch vụ Thu hộ Dịch vụ công lũy kế năm đến ngày 20/06/2024 tăng trưởng bao nhiêu so với cùng kỳ năm trước,Select SPY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_PUBLIC_SERVICES' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_TRANSPORTATION,Ngày 20/06/2024 Doanh thu dịch vụ Thu hộ giao thông  tăng trưởng bao nhiêu phần trăm so với ngày 19/06/2024,Select SPD_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TRANSPORTATION' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_CT,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Chuyển tiền tăng trưởng bao nhiêu so với cùng kỳ quý năm trước",Select SPQY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_CT' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_HEALTHCARE,Doanh thu dịch vụ Thu hộ y tế quý 1 năm 2024,"Select QUARTER_VALUE, SPQ_PERCENT, SPQY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_HEALTHCARE' and PARTITION_DATE = '20240331'"
CT_VDS_DT_DV_TT_BH_XS,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Thu hộ Xổ số tăng trưởng bao nhiêu % so với 20/03/2024",Select SPQ_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT_BH_XS' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_TC_BH,Doanh thu dịch vụ Thu hộ tài chính & bảo hiểm lũy kế năm đến ngày 20/06/2024 tăng trưởng bao nhiêu % so với cùng kỳ năm trước,Select SPY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TC_BH' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_PUBLIC_SERVICES,Tính đến ngày 20/06/2025 Doanh thu dịch vụ Thu hộ Dịch vụ công tăng trưởng bao nhiêu so với cùng kì năm trước,Select SPY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_PUBLIC_SERVICES' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_KHAC,Doanh thu dịch vụ khác tháng 06/2024 của VDS,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240630' AND SERVICE_PK = 'CT_VDS_DT_DV_KHAC'"
CT_VDS_DT_DV_TH_ELECTRIC,Quý 2 năm 2024 Doanh thu dịch vụ Thu hộ điện tăng trưởng bao nhiêu so với quý 2 năm 2023,Select SPQY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_ELECTRIC' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TH_WATER,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Thu hộ nước tăng trưởng tháng bao nhiêu % so với 20/06/2023",Select SPQY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_WATER' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TT,Doanh thu dịch vụ Thanh toán tháng 06/2024 của VDS,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240630' AND SERVICE_PK = 'CT_VDS_DT_DV_TT'"
CT_VDS_DT_DV_TH_TRANSPORTATION,Doanh thu dịch vụ Thu hộ giao thông  ngày 20/06/2024,"SELECT DAY_VALUE, SPD_PERCENT, SPDM_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240620' AND SERVICE_PK = 'CT_VDS_DT_DV_TH_TRANSPORTATION'"
CT_VDS_DT_DV_TCS,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Tài chính số tăng trưởng tháng bao nhiêu % so với 20/06/2023",Select SPQY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TCS' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_TRAVELLING,Quý 2 năm 2024 Doanh thu dịch vụ Thu hộ Du lịch tăng trưởng bao nhiêu so với quý 2 năm 2023,Select SPQY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TRAVELLING' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TH_HEALTHCARE,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Thu hộ y tế tăng trưởng bao nhiêu % so với cùng kỳ quý trước",Select SPQ_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_HEALTHCARE' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_EDUCATION,Doanh thu dịch vụ Thu hộ Giáo dục lũy kế năm đến ngày 20/06/2024 tăng trưởng bao nhiêu % so với cùng kỳ năm trước,Select SPY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_EDUCATION' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_ELECTRIC,Doanh thu dịch vụ Thu hộ điện năm nay,"Select YEAR_VALUE, SPY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_ELECTRIC'  and PARTITION_DATE = (select max(PARTITION_DATE) from CHATBOT_KTDL_TARGETS_REVENUE)"
CT_VDS_DT_DV_TT_TH,Doanh thu dịch vụ Thu hộ quý 2 năm 2024,"Select QUARTER_VALUE, SPQ_PERCENT, SPQY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT_TH' and PARTITION_DATE = '20240630'"
CT_VDS_DT_DV_TH_TRANSPORTATION,Tỷ lệ chênh lệch lũy kế năm Doanh thu dịch vụ Thu hộ giao thông  tính đến ngày 20/06/2024,Select SPY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TRANSPORTATION' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_WATER,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Thu hộ nước tăng trưởng tháng bao nhiêu so với cùng kỳ năm trước",Select SPMY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_WATER' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_EDUCATION,Doanh thu dịch vụ Thu hộ Giáo dục quý 1 năm 2024,"Select QUARTER_VALUE, SPQ_PERCENT, SPQY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_EDUCATION' and PARTITION_DATE = '20240331'"
CT_VDS_DT_SMS_BANKING,Quý 2 năm 2024 Doanh thu dịch vụ SMS Banking tăng trưởng bao nhiêu so với quý 1 năm 2024,Select SPQ_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_SMS_BANKING' and PARTITION_DATE = '20240630'
CT_VDS_DT_TOTAL,"Tính đến ngày 20/06/2024, Tổng doanh thu tăng trưởng bao nhiêu % so với 20/03/2024",Select SPQ_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_TOTAL' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TT_TH,Top 5 ngày có Doanh thu dịch vụ Thu hộ lớn nhất trong tháng 06/2024,"Select PARTITION_DATE, DAY_VALUE,SPD_PERCENT, SPDM_PERCENT From (Select PARTITION_DATE,  DAY_VALUE, SPD_PERCENT, SPDM_PERCENT, row_number() over (order by DAY_VALUE DESC) as RANK From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT_TH' and PARTITION_DATE >= '20240601' and PARTITION_DATE < '20240701') AS SUB where rank <= 5"
CT_VDS_DT_DV_TOTAL,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ tăng trưởng bao nhiêu % so với cùng kỳ quý trước",Select SPQ_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TOTAL' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_PUBLIC_SERVICES,Top 5 tháng có Doanh thu dịch vụ Thu hộ Dịch vụ công lớn nhất trong năm 2024,"SELECT SUBSTR(PARTITION_DATE, 1, 6), MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT FROM (SELECT PARTITION_DATE, MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT, ROW_NUMBER() OVER (ORDER BY MONTH_VALUE DESC) AS rank FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE SERVICE_PK = 'CT_VDS_DT_DV_TH_PUBLIC_SERVICES' AND PARTITION_DATE =DATE_FORMAT(LAST_DAY(STR_TO_DATE(PARTITION_DATE, '%Y%m%d')), '%Y%m%d') AND PARTITION_DATE LIKE '2024%') AS ranked WHERE rank <= 5;"
CT_VDS_DT_TOTAL,Chênh lệch lũy kế năm Tổng doanh thu tính đến ngày 20/06/2024,Select SPY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_TOTAL' and PARTITION_DATE = '20240620'
CT_VDS_DT_TOTAL,"Tổng doanh thu các ngày 10/06/2024, 11/06/2024, 12/06/2024, 20/06/2024","Select PARTITION_DATE, DAY_VALUE, SPD_PERCENT, SPDM_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_TOTAL' and PARTITION_DATE in ('20240610', '20240611', '20240612', '20240620')"
CT_VDS_DT_DV_CREDIT_SCORE,Tỷ lệ tăng trưởng Doanh thu dịch vụ Chấm điểm khách hàng năm 2024 so với năm trước,Select SPY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_CREDIT_SCORE' and PARTITION_DATE = '20241231'
CT_VDS_DT_DV_TT_TH,Doanh thu dịch vụ Thu hộ tính đến hiện tại,Select sum(DAY_VALUE) From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT_TH'
CT_VDS_DT_DV_CREDIT_SCORE,Doanh thu dịch vụ Chấm điểm khách hàng trong ngày 20/06/2024 là bao nhiêu,"SELECT DAY_VALUE, SPD_PERCENT, SPDM_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240620' AND SERVICE_PK = 'CT_VDS_DT_DV_CREDIT_SCORE'"
CT_VDS_DT_DV_TH_TRANSPORTATION,Doanh thu dịch vụ Thu hộ giao thông  quý 1 năm 2024,"Select QUARTER_VALUE, SPQ_PERCENT, SPQY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TRANSPORTATION' and PARTITION_DATE = '20240331'"
CT_VDS_DT_DV_TT,Top 5 tháng có Doanh thu dịch vụ Thanh toán lớn nhất trong năm 2024,"SELECT SUBSTR(PARTITION_DATE, 1, 6), MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT FROM (SELECT PARTITION_DATE, MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT, ROW_NUMBER() OVER (ORDER BY MONTH_VALUE DESC) AS rank FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE SERVICE_PK = 'CT_VDS_DT_DV_TT' AND PARTITION_DATE =DATE_FORMAT(LAST_DAY(STR_TO_DATE(PARTITION_DATE, '%Y%m%d')), '%Y%m%d') AND PARTITION_DATE LIKE '2024%') AS ranked WHERE rank <= 5;"
CT_VDS_DT_DV_CREDIT_SCORE,Doanh thu dịch vụ Chấm điểm khách hàng năm nay,"Select YEAR_VALUE, SPY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_CREDIT_SCORE'  and PARTITION_DATE = (select max(PARTITION_DATE) from CHATBOT_KTDL_TARGETS_REVENUE)"
CT_VDS_DT_DV_KHAC,"Lũy kế tháng tính đến ngày 20/06/2024, Doanh thu dịch vụ khác là bao nhiêu","SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240620' AND SERVICE_PK = 'CT_VDS_DT_DV_KHAC'"
CT_VDS_DT_DV_KHAC,Doanh thu dịch vụ khác lũy kế năm đến ngày 20/06/2024 tăng trưởng bao nhiêu so với cùng kỳ năm trước,Select SPY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_KHAC' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_ECOMMERCE,Tình hình Doanh thu dịch vụ Thu hộ Thương mại điện tử của VDS tháng 06/2024,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240630' AND SERVICE_PK = 'CT_VDS_DT_DV_TH_ECOMMERCE'"
CT_VDS_DT_DV_CT,Doanh thu dịch vụ Chuyển tiền năm 2024,"Select YEAR_VALUE, SPY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_CT' and PARTITION_DATE = '20241231'"
CT_VDS_DT_DV_TCS,"Vào ngày 20/06/2024, Doanh thu dịch vụ Tài chính số là bao nhiêu","SELECT DAY_VALUE, SPD_PERCENT, SPDM_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240620' AND SERVICE_PK = 'CT_VDS_DT_DV_TCS'"
CT_VDS_DT_TOTAL,Tổng doanh thu từ ngày đầu tháng 06/2024 đến hết tháng là bao nhiêu?,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240630' AND SERVICE_PK = 'CT_VDS_DT_TOTAL'"
CT_VDS_DT_DV_TH_TC_BH,Doanh thu dịch vụ Thu hộ tài chính & bảo hiểm lũy kế từ ngày 10/06/2024 đến ngày 20/06/2024,Select sum(DAY_VALUE) From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TC_BH' and PARTITION_DATE >= '20240610' and PARTITION_DATE <= '20240620'
CT_VDS_DT_DV_TH_TRANSPORTATION,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Thu hộ giao thông  tăng trưởng bao nhiêu % so với cùng kỳ quý năm trước",Select SPQY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TRANSPORTATION' and PARTITION_DATE = '20240620'
CT_VDS_DT_SMS_BANKING,Doanh thu dịch vụ SMS Banking của viettel từ ngày 01/06/2024 đến 30/06/2024,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240630' AND SERVICE_PK = 'CT_VDS_DT_SMS_BANKING'"
CT_VDS_DT_DV_TT,Doanh thu dịch vụ Thanh toán năm 2024,"Select YEAR_VALUE, SPY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT' and PARTITION_DATE = '20241231'"
CT_VDS_DT_DV_TH_PUBLIC_SERVICES,Doanh thu dịch vụ Thu hộ Dịch vụ công tháng 06-2024,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240630' AND SERVICE_PK = 'CT_VDS_DT_DV_TH_PUBLIC_SERVICES'"
CT_VDS_DT_DV_TH_ELECTRIC,Doanh thu dịch vụ Thu hộ điện năm 2024 tăng trưởng bao nhiêu % so với năm trước,Select SPY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_ELECTRIC' and PARTITION_DATE = '20241231'
CT_VDS_DT_DV_TH_WATER,Doanh thu dịch vụ Thu hộ nước lũy kế từ ngày 10/06/2024 đến ngày 20/06/2024,Select sum(DAY_VALUE) From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_WATER' and PARTITION_DATE >= '20240610' and PARTITION_DATE <= '20240620'
CT_VDS_DT_SMS_BANKING,Doanh thu dịch vụ SMS Banking năm 2023,"Select YEAR_VALUE, SPY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_SMS_BANKING' and PARTITION_DATE = '20231231'"
CT_VDS_DT_DV_TH_HEALTHCARE,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Thu hộ y tế tăng trưởng tháng bao nhiêu % so với 20/06/2023",Select SPQY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_HEALTHCARE' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_EDUCATION,Doanh thu dịch vụ Thu hộ Giáo dục tháng 06/2024 của VDS,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240630' AND SERVICE_PK = 'CT_VDS_DT_DV_TH_EDUCATION'"
CT_VDS_DT_DV_TH_WATER,Doanh thu dịch vụ Thu hộ nước tháng 06-2024,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240630' AND SERVICE_PK = 'CT_VDS_DT_DV_TH_WATER'"
CT_VDS_DT_DV_TH_ECOMMERCE,Tỷ lệ chênh lệch lũy kế Doanh thu dịch vụ Thu hộ Thương mại điện tử quý 2 năm 2024 và quý trước đó,Select SPQ_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_ECOMMERCE' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TH_HEALTHCARE,Doanh thu dịch vụ Thu hộ y tế năm 2024 tăng trưởng bao nhiêu so với năm trước,Select SPY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_HEALTHCARE' and PARTITION_DATE = '20241231'
CT_VDS_DT_DV_TOTAL,Doanh thu dịch vụ trung bình 1 ngày trong giai đoạn 10/06/2024 đến ngày 20/06/2024,Select sum(DAY_VALUE)/count(distinct PARTITION_DATE) From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TOTAL' AND PARTITION_DATE >= '20240610' and PARTITION_DATE <= '20240620'
CT_VDS_DT_DV_KHAC,Doanh thu dịch vụ khác năm 2024 tăng trưởng bao nhiêu so với năm trước,Select SPY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_KHAC' and PARTITION_DATE = '20241231'
CT_VDS_DT_DV_TH_TRAVELLING,Doanh thu dịch vụ Thu hộ Du lịch năm 2024 tăng trưởng bao nhiêu so với năm trước,Select SPY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TRAVELLING' and PARTITION_DATE = '20241231'
CT_VDS_DT_DV_TT_BH_XS,Ngày 20/06/2024 Doanh thu dịch vụ Thu hộ Xổ số tăng trưởng bao nhiêu phần trăm so với ngày 19/06/2024,Select SPD_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT_BH_XS' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TH_ECOMMERCE,Doanh thu dịch vụ Thu hộ Thương mại điện tử năm 2023,"Select YEAR_VALUE, SPY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_ECOMMERCE' and PARTITION_DATE = '20231231'"
CT_VDS_DT_TOTAL,"Tính đến ngày 20/06/2024, Tổng doanh thu tăng trưởng bao nhiêu so với cùng kỳ quý năm trước",Select SPQY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_TOTAL' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_KHAC,Chênh lệch lũy kế năm Doanh thu dịch vụ khác tính đến ngày 20/06/2024,Select SPY_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_KHAC' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TT,"Tính đến ngày 20/06/2024, Doanh thu dịch vụ Thanh toán tăng trưởng tháng bao nhiêu % so với cùng kỳ năm trước",Select SPMY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TT' and PARTITION_DATE = '20240620'
CT_VDS_DT_DV_TCS,"Tháng 06/2024, Doanh thu dịch vụ Tài chính số tăng trưởng bao nhiêu so với tháng 05/2024",Select SPM_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TCS' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TH_TC_BH,Doanh thu dịch vụ Thu hộ tài chính & bảo hiểm lũy kế tháng đến ngày 20/06/2024,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240620' AND SERVICE_PK = 'CT_VDS_DT_DV_TH_TC_BH'"
CT_VDS_DT_DV_TH_WATER,Doanh thu dịch vụ Thu hộ nước trung bình 1 ngày trong giai đoạn 10/06/2024 đến ngày 20/06/2024,Select sum(DAY_VALUE)/count(distinct PARTITION_DATE) From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_WATER' AND PARTITION_DATE >= '20240610' and PARTITION_DATE <= '20240620'
CT_VDS_DT_DV_CT,Top 5 ngày có Doanh thu dịch vụ Chuyển tiền lớn nhất trong tháng 06/2024,"Select PARTITION_DATE, DAY_VALUE,SPD_PERCENT, SPDM_PERCENT From (Select PARTITION_DATE,  DAY_VALUE, SPD_PERCENT, SPDM_PERCENT, row_number() over (order by DAY_VALUE DESC) as RANK From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_CT' and PARTITION_DATE >= '20240601' and PARTITION_DATE < '20240701') AS SUB where rank <= 5"
CT_VDS_DT_DV_TH_TRANSPORTATION,"Tháng 06/2024, Doanh thu dịch vụ Thu hộ giao thông  tăng trưởng bao nhiêu so với tháng 05/2024",Select SPM_DELTA From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_TRANSPORTATION' and PARTITION_DATE = '20240630'
CT_VDS_DT_TOTAL,Tổng doanh thu tháng 06-2024,"SELECT MONTH_VALUE, SPM_PERCENT, SPMY_PERCENT,  PARTITION_DATE FROM CHATBOT_KTDL_TARGETS_REVENUE WHERE PARTITION_DATE = '20240630' AND SERVICE_PK = 'CT_VDS_DT_TOTAL'"
CT_VDS_DT_DV_TH_ECOMMERCE,Quý 2 năm 2024 Doanh thu dịch vụ Thu hộ Thương mại điện tử tăng trưởng bao nhiêu so với quý 2 năm 2023,Select SPQY_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TH_ECOMMERCE' and PARTITION_DATE = '20240630'
CT_VDS_DT_DV_TOTAL,Tỷ lệ chênh lệch lũy kế Doanh thu dịch vụ quý 2 năm 2024 và quý trước đó,Select SPQ_PERCENT From CHATBOT_KTDL_TARGETS_REVENUE Where SERVICE_PK = 'CT_VDS_DT_DV_TOTAL' and PARTITION_DATE = '20240630'
